method,scenario,model_seed,p_node,m_node,mean_mp_attn
A0,S1R,4,P2,M5,0.14574381508674314
A0,S1R,4,P3,M1,0.2237694179307472
A0,S1R,4,P3,M2,0.27448636212432315
A0,S1R,4,P3,M3,0.21036716330275393
A0,S1R,4,P3,M4,0.14580534891485133
A0,S1R,4,P3,M5,0.14557170774722933
A0,S2R,4,P1,M1,0.20902578002545857
A0,S2R,4,P1,M2,0.21618336439326885
A0,S2R,4,P1,M3,0.20544125826642579
A0,S2R,4,P1,M4,0.18470456003754374
A0,S2R,4,P1,M5,0.18464503834472337
A0,S2R,4,P2,M1,0.20876376268580932
A0,S2R,4,P2,M2,0.21552330288197763
A0,S2R,4,P2,M3,0.20531933159445234
A0,S2R,4,P2,M4,0.18527001540502655
A0,S2R,4,P2,M5,0.18512358800172288
A0,S2R,4,P3,M1,0.20902036351809597
A0,S2R,4,P3,M2,0.21610228912103807
A0,S2R,4,P3,M3,0.20541172793780743
A0,S2R,4,P3,M4,0.184753473786286
A0,S2R,4,P3,M5,0.1847121463831252
