t,k,g_s1,w_s1,cov_scale_s1,fault_active_s1,valid_s1,gate_target_s1,gate_supervision_mask_s1,g_s2,w_s2,cov_scale_s2,fault_active_s2,valid_s2,gate_target_s2,gate_supervision_mask_s2,g_s3,w_s3,cov_scale_s3,fault_active_s3,valid_s3,gate_target_s3,gate_supervision_mask_s3,g_s4,w_s4,cov_scale_s4,fault_active_s4,valid_s4,gate_target_s4,gate_supervision_mask_s4
55.20000076293945,552,0.3885412812232971,0.0003708219446707517,5.340954780578613,0.0,1.0,0.800000011920929,1.0,0.4077661335468292,0.07384084910154343,5.322769641876221,0.0,1.0,0.800000011920929,1.0,0.41099104285240173,0.9111699461936951,5.314352512359619,0.0,1.0,0.800000011920929,1.0,0.29180583357810974,0.01461843028664589,5.320271968841553,1.0,1.0,0.20000000298023224,1.0
55.29999923706055,553,0.3957310914993286,0.0008194624679163098,5.321305274963379,0.0,1.0,0.800000011920929,1.0,0.407273530960083,0.12228144705295563,5.302557468414307,0.0,1.0,0.800000011920929,1.0,0.40386924147605896,0.7980325222015381,5.295780181884766,0.0,1.0,0.800000011920929,1.0,0.21891163289546967,0.07886655628681183,5.3128461837768555,1.0,1.0,0.20000000298023224,1.0
55.400001525878906,554,0.3952016830444336,0.0011891539907082915,5.301346302032471,0.0,1.0,0.800000011920929,1.0,0.40822064876556396,0.13133756816387177,5.279967784881592,0.0,1.0,0.800000011920929,1.0,0.4077729880809784,0.8132292628288269,5.273313522338867,0.0,1.0,0.800000011920929,1.0,0.05953451246023178,0.054244060069322586,5.304378509521484,1.0,1.0,0.20000000298023224,1.0
55.5,555,0.3922542333602905,0.0005089912447147071,5.292496204376221,0.0,1.0,0.800000011920929,1.0,0.40731534361839294,0.08495116978883743,5.268905162811279,0.0,1.0,0.800000011920929,1.0,0.4097402095794678,0.9046563506126404,5.264272689819336,0.0,1.0,0.800000011920929,1.0,0.10979292541742325,0.009883454069495201,5.3061652183532715,1.0,1.0,0.20000000298023224,1.0
55.599998474121094,556,0.3941221535205841,0.001186442794278264,5.27049446105957,0.0,1.0,0.800000011920929,1.0,0.40712007880210876,0.1451655477285385,5.244571208953857,0.0,1.0,0.800000011920929,1.0,0.40984126925468445,0.6823503971099854,5.238245010375977,0.0,1.0,0.800000011920929,1.0,0.09355661273002625,0.17129755020141602,5.2926201820373535,1.0,1.0,0.20000000298023224,1.0
55.70000076293945,557,0.3946429491043091,1.4967680726840626e-05,5.25795316696167,0.0,1.0,0.800000011920929,1.0,0.4041004478931427,0.001338658737950027,5.2310638427734375,0.0,1.0,0.800000011920929,1.0,0.40913620591163635,0.0044261496514081955,5.225249290466309,0.0,1.0,0.800000011920929,1.0,0.39284345507621765,0.9942202568054199,5.27459192276001,1.0,1.0,0.20000000298023224,1.0
55.79999923706055,558,0.3928130269050598,2.8804994144593365e-05,5.257810592651367,0.0,1.0,0.800000011920929,1.0,0.40795570611953735,0.00583758344873786,5.228708267211914,0.0,1.0,0.800000011920929,1.0,0.40949299931526184,0.014109160751104355,5.223690986633301,0.0,1.0,0.800000011920929,1.0,0.38626742362976074,0.9800243973731995,5.271159648895264,1.0,1.0,0.20000000298023224,1.0
55.900001525878906,559,0.39329397678375244,0.0006302876863628626,5.284336090087891,0.0,1.0,0.800000011920929,1.0,0.4081226587295532,0.22761893272399902,5.258633136749268,0.0,1.0,0.800000011920929,1.0,0.4085303246974945,0.7523709535598755,5.255149841308594,0.0,1.0,0.800000011920929,1.0,0.06713424623012543,0.019379831850528717,5.289456367492676,1.0,1.0,0.20000000298023224,1.0
56.0,560,0.393586665391922,0.00047028085100464523,5.277628421783447,0.0,1.0,0.800000011920929,1.0,0.40783658623695374,0.1844552755355835,5.2512125968933105,0.0,1.0,0.800000011920929,1.0,0.4085663855075836,0.8138300180435181,5.248173713684082,0.0,1.0,0.800000011920929,1.0,0.18749070167541504,0.0012444059830158949,5.294628620147705,1.0,1.0,0.20000000298023224,1.0
56.099998474121094,561,0.3890238404273987,0.000681305886246264,5.27292537689209,0.0,1.0,0.800000011920929,1.0,0.40716663002967834,0.2631857693195343,5.2472333908081055,0.0,1.0,0.800000011920929,1.0,0.4070732295513153,0.7259477376937866,5.239229202270508,0.0,1.0,0.800000011920929,1.0,0.09959757328033447,0.010185218416154385,5.281064510345459,1.0,1.0,0.20000000298023224,1.0
