fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,1.0,475,47.5,1.0,1.0,1.0,1.0,4.463748609850882e-06,0.044166699051856995,0.0975048616528511,0.8583239912986755
0.0,0.0,0.0,1.0,476,47.599998474121094,1.0,1.0,1.0,1.0,8.176632945833262e-06,0.08343137800693512,0.29069799184799194,0.6258624792098999
0.0,0.0,0.0,1.0,477,47.70000076293945,1.0,1.0,1.0,1.0,0.0003276123316027224,0.03125410154461861,0.36271873116493225,0.6056995391845703
0.0,0.0,0.0,1.0,478,47.79999923706055,1.0,1.0,1.0,1.0,0.0019371085800230503,0.11001592129468918,0.6471627354621887,0.24088425934314728
0.0,0.0,0.0,1.0,479,47.900001525878906,1.0,1.0,1.0,1.0,7.26849066268187e-07,0.0001608691381989047,0.03334717079997063,0.966491162776947
0.0,0.0,0.0,1.0,480,48.0,1.0,1.0,1.0,1.0,8.193863436645188e-07,1.1953656212426722e-05,0.013295719400048256,0.9866914749145508
0.0,0.0,0.0,1.0,481,48.099998474121094,1.0,1.0,1.0,1.0,9.304493175932294e-08,0.0002276310115121305,0.15989312529563904,0.8398791551589966
0.0,0.0,0.0,1.0,482,48.20000076293945,1.0,1.0,1.0,1.0,6.845490929663356e-08,0.0016553085297346115,0.021410103887319565,0.9769344925880432
0.0,0.0,0.0,1.0,483,48.29999923706055,1.0,1.0,1.0,1.0,7.253919420691091e-07,0.004559040535241365,0.0444486178457737,0.9509916305541992
0.0,0.0,0.0,1.0,484,48.400001525878906,1.0,1.0,1.0,1.0,3.593720210304241e-09,0.00021942816965747625,0.0035437694750726223,0.9962368011474609
0.0,0.0,0.0,1.0,485,48.5,1.0,1.0,1.0,1.0,2.8514066663376525e-09,0.00024200651387218386,0.00165608711540699,0.9981018900871277
0.0,0.0,0.0,1.0,486,48.599998474121094,1.0,1.0,1.0,1.0,2.0643994846913927e-10,0.00023760621843393892,0.010312608443200588,0.9894497990608215
0.0,0.0,0.0,1.0,487,48.70000076293945,1.0,1.0,1.0,1.0,5.213437459516967e-10,0.0016027844976633787,0.03191887214779854,0.9664783477783203
0.0,0.0,0.0,1.0,488,48.79999923706055,1.0,1.0,1.0,1.0,1.2661218740106506e-09,0.003513559466227889,0.4048748314380646,0.5916116237640381
0.0,0.0,0.0,1.0,489,48.900001525878906,1.0,1.0,1.0,1.0,1.7707310617787186e-10,0.0041712322272360325,0.16522176563739777,0.830606997013092
0.0,0.0,0.0,1.0,490,49.0,1.0,1.0,1.0,1.0,3.711091711711134e-10,0.002275356324389577,0.017172614112496376,0.9805520176887512
0.0,0.0,0.0,1.0,491,49.099998474121094,1.0,1.0,1.0,1.0,3.0818223528683575e-09,0.008374539203941822,0.06680207699537277,0.9248234033584595
0.0,0.0,0.0,1.0,492,49.20000076293945,1.0,1.0,1.0,1.0,3.0343589969561435e-06,0.18708102405071259,0.281855046749115,0.5310609340667725
0.0,0.0,0.0,1.0,493,49.29999923706055,1.0,1.0,1.0,1.0,1.833373630688584e-08,0.024018002673983574,0.010005472227931023,0.9659765362739563
0.0,0.0,0.0,1.0,494,49.400001525878906,1.0,1.0,1.0,1.0,1.5805561304205185e-07,0.025111541152000427,0.06558115780353546,0.9093071818351746
0.0,0.0,0.0,1.0,495,49.5,1.0,1.0,1.0,1.0,2.534822272082238e-07,0.005942685529589653,0.0255177803337574,0.968539297580719
0.0,0.0,0.0,1.0,496,49.599998474121094,1.0,1.0,1.0,1.0,1.1534763189047226e-07,0.0021255575120449066,0.013592291623353958,0.9842820763587952
0.0,0.0,0.0,1.0,497,49.70000076293945,1.0,1.0,1.0,1.0,5.672843084170154e-09,0.0002210862294305116,0.008858250454068184,0.9909206628799438
0.0,0.0,0.0,1.0,498,49.79999923706055,1.0,1.0,1.0,1.0,3.6865182018175346e-09,0.0002459534734953195,0.005903880577534437,0.9938501119613647
0.0,0.0,0.0,1.0,499,49.900001525878906,1.0,1.0,1.0,1.0,1.8114600379703916e-06,0.007348854094743729,0.01956598274409771,0.9730833172798157
0.0,0.0,0.0,1.0,500,50.0,1.0,1.0,1.0,1.0,4.19247214722418e-07,0.020917311310768127,0.16756774485111237,0.8115145564079285
0.0,0.0,0.0,1.0,501,50.099998474121094,1.0,1.0,1.0,1.0,3.505991514884954e-07,0.15884622931480408,0.78891521692276,0.052238255739212036
0.0,0.0,0.0,1.0,502,50.20000076293945,1.0,1.0,1.0,1.0,1.6618652010080837e-09,0.003206786932423711,0.0010497691109776497,0.995743453502655
0.0,0.0,0.0,1.0,503,50.29999923706055,1.0,1.0,1.0,1.0,4.45506787016825e-09,0.007375117391347885,0.0030437856912612915,0.9895811080932617
