fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,0.0,121,12.100000381469727,1.0,1.0,1.0,1.0,0.2419263869524002,0.22384992241859436,0.2394903600215912,0.29473328590393066
0.0,0.0,0.0,0.0,122,12.199999809265137,1.0,1.0,1.0,1.0,0.27755507826805115,0.20929068326950073,0.22197270393371582,0.29118162393569946
0.0,0.0,0.0,0.0,123,12.300000190734863,1.0,1.0,1.0,1.0,0.2738346457481384,0.19987186789512634,0.22244644165039062,0.303847074508667
0.0,0.0,0.0,0.0,124,12.399999618530273,1.0,1.0,1.0,1.0,0.26128995418548584,0.224679633975029,0.21595610678195953,0.29807427525520325
0.0,0.0,0.0,0.0,125,12.5,1.0,1.0,1.0,1.0,0.3863113820552826,0.1736777275800705,0.20573115348815918,0.23427976667881012
0.0,0.0,0.0,0.0,126,12.600000381469727,1.0,1.0,1.0,1.0,0.3031761944293976,0.18461240828037262,0.23908352851867676,0.2731279134750366
0.0,0.0,0.0,0.0,127,12.699999809265137,1.0,1.0,1.0,1.0,0.30570197105407715,0.16764254868030548,0.2604961097240448,0.2661593556404114
0.0,0.0,0.0,0.0,128,12.800000190734863,1.0,1.0,1.0,1.0,0.22129519283771515,0.1348191201686859,0.34042471647262573,0.30346107482910156
0.0,0.0,0.0,0.0,129,12.899999618530273,1.0,1.0,1.0,1.0,0.27547597885131836,0.11485497653484344,0.31524497270584106,0.2944240868091583
0.0,0.0,0.0,0.0,130,13.0,1.0,1.0,1.0,1.0,0.29041963815689087,0.10888098180294037,0.3471680283546448,0.2535313367843628
0.0,0.0,0.0,0.0,131,13.100000381469727,1.0,1.0,1.0,1.0,0.33813777565956116,0.12280970811843872,0.3074067533016205,0.23164570331573486
0.0,0.0,0.0,0.0,132,13.199999809265137,1.0,1.0,1.0,1.0,0.3568374216556549,0.10810888558626175,0.2912411093711853,0.24381259083747864
0.0,0.0,0.0,0.0,133,13.300000190734863,1.0,1.0,1.0,1.0,0.3443257808685303,0.11900375783443451,0.28665095567703247,0.25001952052116394
0.0,0.0,0.0,0.0,134,13.399999618530273,1.0,1.0,1.0,1.0,0.42053404450416565,0.124774269759655,0.1948133409023285,0.25987833738327026
0.0,0.0,0.0,0.0,135,13.5,1.0,1.0,1.0,1.0,0.36767134070396423,0.1079949140548706,0.24264955520629883,0.28168410062789917
0.0,0.0,0.0,0.0,136,13.600000381469727,1.0,1.0,1.0,1.0,0.4144919812679291,0.10485857725143433,0.22960339486598969,0.2510460615158081
0.0,0.0,0.0,0.0,137,13.699999809265137,1.0,1.0,1.0,1.0,0.36143967509269714,0.08462154865264893,0.2669362425804138,0.2870025336742401
0.0,0.0,0.0,0.0,138,13.800000190734863,1.0,1.0,1.0,1.0,0.2824505567550659,0.08941976726055145,0.2971460521221161,0.3309836685657501
0.0,0.0,0.0,0.0,139,13.899999618530273,1.0,1.0,1.0,1.0,0.26479989290237427,0.08083615452051163,0.3323121666908264,0.3220517635345459
