method,scenario,model_seed,error_bin,num_rows,bin_num_rows,bin_entropy_mean,bin_entropy_std,bin_entropy_p95,bin_row_std_mean,bin_row_std_p95,bin_evidence_mass_mean,bin_track_mass_mean,bin_own_track_mass_mean,bin_other_track_mass_mean,bin_evidence_to_track_mass_ratio,entropy_mean,row_std_mean,evidence_mass_mean,track_mass_mean,own_track_mass_mean,other_track_mass_mean,evidence_to_track_mass_ratio,raw_residual_corr,residual_log_corr,residual_centered_corr,evidence_normalized_corr,within_evidence_gap_corr,low_spread_corr,low_spread_n_pairs,mid_spread_corr,mid_spread_n_pairs,high_spread_corr,high_spread_n_pairs,spread_low_threshold,spread_high_threshold,ranking_events,worst_track_hit_rate,top2_hit_rate,spearman_rank_corr,kendall_tau,worst_minus_best_attn,worst_minus_mean_attn,error_pos_n,error_pos_mean,error_pos_std,error_pos_min,error_pos_max,high_spread_event_share,w_s1_mean,w_s2_mean,w_s3_mean,g_s1_mean,g_s2_mean,g_s3_mean,cov_scale_s1_mean,cov_scale_s2_mean,cov_scale_s3_mean
A0D,S1R,1,high_error,60,60,1.3319416114616651,0.015505382832315376,1.3588791432761156,0.07074012179343375,0.11779731262329887,0.10614951530264484,0.8938504842420419,0.458859681751993,0.43499080249004896,0.11875533679735756,1.3319416114616651,0.07074012179343375,0.10614951530264484,0.8938504842420419,0.458859681751993,0.43499080249004896,0.11875533679735756,0.9894857934922406,0.3897257836923811,0.6597709988153966,0.6879944053466155,0.9949524445976932,0.9912472823795766,108,0.9863603728678706,108,0.9923214257217946,108,0.06886471202597022,0.3299893826246261,120,1.0,1.0,1.0,1.0,0.015082930928717058,0.011538641449684897,60,1.710882294178009,0.4972564622835229,1.3659794330596924,3.7731921672821045,0.35,0.3337457244594892,0.33315311968326566,0.33310115337371826,0.6615375459194184,0.6612792114416758,0.6612393746773402,1.5932663520177206,1.5940791388352713,1.5941485901673635
A0D,S1R,1,tail_error,11,11,1.3309307215807669,0.016794638614791316,1.3590705872101472,0.07078376346097193,0.11786381000167213,0.10558284830414888,0.894417148196336,0.4591223588495543,0.4352947893467816,0.1180465384827037,1.3309307215807669,0.07078376346097193,0.10558284830414888,0.894417148196336,0.4591223588495543,0.4352947893467816,0.1180465384827037,0.9914901282323857,0.4905262786419467,0.6885586007114752,0.6361199490216024,0.9944373527485156,0.9929136764602211,21,0.9882847905651604,18,0.9955590879636016,21,0.09068774580955505,0.3721909075975417,22,1.0,1.0,1.0,1.0,0.015153951434926554,0.011561603200706568,11,2.4448303417725996,0.8108075214000823,1.7725416421890259,3.7731921672821045,0.4090909090909091,0.3337011283094233,0.33232728188688104,0.3339715843850916,0.6611302061514421,0.660522000356154,0.6611808430064808,1.5941645340486006,1.596122069792314,1.593753998929804
A0D,S2R,1,low_error,61,61,1.3315818663521906,0.014722244692793205,1.3586563843991208,0.07077061413893283,0.11769781985419218,0.10597685227791469,0.8940231440171518,0.45903997473378,0.43498316928337183,0.11853927159170001,1.3315818663521906,0.07077061413893283,0.10597685227791469,0.8940231440171518,0.45903997473378,0.43498316928337183,0.11853927159170001,0.9915357635802634,0.36014246906660113,0.696731524099381,0.7095931324736866,0.9954881935975558,0.9916339046216712,111,0.9897341070158466,108,0.9944261491176764,111,0.053544664382934565,0.28891099691390976,122,1.0,1.0,1.0,1.0,0.014954816244664739,0.011467291820855414,61,0.6540770010381448,0.19590766794056538,0.2256896197795868,0.9518719911575317,0.3114754098360656,0.3337781785941515,0.3333685139163596,0.3328533118865529,0.6616246221495456,0.6614480194498281,0.6612162873393199,1.5930780113720504,1.5936313808941451,1.5943656163137467
A0D,S2R,1,mid_error,80,80,1.3318620890538704,0.015667092099389133,1.3596072483799828,0.07076208746322994,0.11786875102923006,0.10613232812223335,0.8938676718001565,0.45894666959842045,0.43492100220173596,0.11873382545370936,1.3318620890538704,0.07076208746322994,0.10613232812223335,0.8938676718001565,0.45894666959842045,0.43492100220173596,0.11873382545370936,0.9912463407518123,0.379675973797613,0.6674559447781626,0.6827053188592266,0.9946059625804877,0.9929900408204946,144,0.9890934225126633,144,0.9926308337226112,144,0.06189164146780967,0.2724696815013885,160,1.0,1.0,1.0,1.0,0.01500822943635285,0.011485422519035638,80,1.275426872074604,0.15182710961245707,0.9705861210823059,1.5465418100357056,0.29375,0.3337732404470444,0.3333016872406006,0.33292506970465185,0.6615970104932785,0.6613907210528851,0.6612198926508427,1.5931198850274086,1.593759749829769,1.5942982673645019
A0D,S2R,1,high_error,60,60,1.3319588052525817,0.01568471489540996,1.3594674144484278,0.0707117029163532,0.11770754295296558,0.1061426301797231,0.8938573700686295,0.4588342992795838,0.4350230707890458,0.11874671925742869,1.3319588052525817,0.0707117029163532,0.1061426301797231,0.8938573700686295,0.4588342992795838,0.4350230707890458,0.11874671925742869,0.9903473835219807,0.38834234722079897,0.6702018874725646,0.663524875774457,0.9944828361885696,0.9917773737679195,108,0.990177841464024,108,0.9922633785840026,108,0.07006068825721737,0.2747061520814896,120,1.0,1.0,1.0,1.0,0.014980322681367397,0.011440147832036018,60,1.9239143033822377,0.45728784779298776,1.5568300485610962,3.77726411819458,0.3,0.3336986357967059,0.33333353052536646,0.3329678371548653,0.6615644047657648,0.6614028185606002,0.6612431953350703,1.593244163195292,1.5937466720740001,1.594277064005534
A0D,S2R,1,tail_error,11,11,1.3310530977188932,0.015403956857521111,1.3582566549010984,0.07080204108639002,0.11775233096214355,0.10564215074885976,0.8943578546697443,0.4590514473842852,0.4353064072854591,0.11812067194050617,1.3310530977188932,0.07080204108639002,0.10564215074885976,0.8943578546697443,0.4590514473842852,0.4353064072854591,0.11812067194050617,0.9921810962716748,0.5447651155880029,0.7763297601194511,0.7197511821656971,0.9963695943676515,0.9926732753675772,21,0.9938268228830178,18,0.9945078156774707,21,0.1512885570526123,0.6555151015520095,22,1.0,1.0,1.0,1.0,0.015410946343432774,0.01177225016396154,11,2.642398704182018,0.6676520782421855,2.059429168701172,3.77726411819458,0.5,0.3336390040137551,0.33300393277948553,0.33335706049745734,0.6613671129400079,0.6610831726681102,0.6612211140719327,1.5937438011169434,1.5946503660895608,1.594151962887157
A0D,S1R,2,low_error,61,61,1.5065685581614257,0.013379593809620453,1.5283535580708736,0.057760326804285514,0.09561605685362608,0.23888830865015748,0.7611116864642159,0.3788397935895972,0.3822718928746187,0.31386761351665166,1.5065685581614257,0.057760326804285514,0.23888830865015748,0.7611116864642159,0.3788397935895972,0.3822718928746187,0.31386761351665166,0.9892745742948645,0.1630147455390876,0.6677137261394926,0.6297192741937958,0.9982765941255369,0.9889652026902374,111,0.9894692890249521,108,0.9899673643836822,111,0.04699320793151855,0.19921600110828874,122,1.0,1.0,1.0,1.0,0.02835257595679799,0.021629976200275732,61,0.42569380094770526,0.12748268385131611,0.1171967089176178,0.6292263865470886,0.21311475409836064,0.3353697916523355,0.33424140732796465,0.3303888015082625,0.657236677701356,0.6568877745847232,0.655615032696333,1.6599820637312093,1.6614188542131518,1.666213625767192
A0D,S1R,2,mid_error,80,80,1.5064894112418181,0.012586180150233902,1.5282825314236488,0.057855223484557426,0.09556032878771309,0.23875923175364733,0.7612407675633828,0.3788024552166462,0.3824383123467366,0.3136448308172981,1.5064894112418181,0.057855223484557426,0.23875923175364733,0.7612407675633828,0.3788024552166462,0.3824383123467366,0.3136448308172981,0.9890125926225637,0.24085953609576627,0.6371420177143734,0.6908134921705593,0.9985390223127263,0.9895707209150847,144,0.9894973376618874,144,0.9884518754273943,144,0.05332597736269235,0.28581777065992353,160,1.0,1.0,1.0,1.0,0.029136638296768068,0.022248810064047574,80,1.0266998156905174,0.20461332545550864,0.6384044289588928,1.3592400550842285,0.33125,0.335342213883996,0.33374146558344364,0.3309163235127926,0.6571480661630631,0.6566256314516068,0.6556836374104023,1.6603117719292642,1.6623397931456565,1.6658058121800423
A0D,S1R,2,high_error,60,60,1.506247549401687,0.012488319756079417,1.528078471381541,0.05789381863388639,0.09549383853644586,0.2384806465357542,0.7615193537539906,0.37895120564434265,0.38256814810964795,0.31316426215583165,1.506247549401687,0.05789381863388639,0.2384806465357542,0.7615193537539906,0.37895120564434265,0.38256814810964795,0.31316426215583165,0.9888762821350703,0.266732642433798,0.636039720515688,0.6915864587358289,0.998761887795188,0.9877495197323474,108,0.9897841341902731,108,0.9881209508961689,108,0.06886471202597022,0.3299893826246261,120,1.0,1.0,1.0,1.0,0.02922463243206342,0.022390483412891626,60,1.711472741762797,0.49759274293362843,1.3663922548294067,3.7739462852478027,0.35,0.3351779202620188,0.33368823130925496,0.33113385289907454,0.6570750057697297,0.6565798461437226,0.6557378043731054,1.6605676492055257,1.6624595324198406,1.665599234898885
A0D,S1R,2,tail_error,11,11,1.5056305466928845,0.013374872596370078,1.5278699833589315,0.057851082309915085,0.09550543684227993,0.23763990424799197,0.7623600873983267,0.37928577625390253,0.3830743111444242,0.3117160882057394,1.5056305466928845,0.057851082309915085,0.23763990424799197,0.7623600873983267,0.37928577625390253,0.3830743111444242,0.3117160882057394,0.9899010021106658,0.41596599024289743,0.6653675505620417,0.6392906903694601,0.9990985769436781,0.9892550406277776,21,0.9912224024953669,18,0.9910745634835653,21,0.09068774580955505,0.3721909075975417,22,1.0,1.0,1.0,1.0,0.02881331572478468,0.021948782388459553,11,2.4459477879784326,0.8108707788764217,1.7709708213806152,3.7739462852478027,0.4090909090909091,0.3346407007087361,0.33265211365439673,0.33270719376477326,0.6567041277885437,0.6559956615621393,0.656043220650066,1.661876147443598,1.6643909324299206,1.6642903848127886
